exchange,market_id,event_id,event_title,team,opponent,yes_price,volume,game_date,close_time,url
kalshi,KXNCAAFGAME-26SEP19TULNKSU-TULN,KXNCAAFGAME-26SEP19TULNKSU,Tulane vs Kansas St.,tulane,kansas state,0.32,103.45,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19tulnksu
kalshi,KXNCAAFGAME-26SEP19UGAARK-ARK,KXNCAAFGAME-26SEP19UGAARK,Georgia vs Arkansas,arkansas,georgia,0.13,1141.75,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19ugaark
kalshi,KXNCAAFGAME-26SEP19UGAARK-UGA,KXNCAAFGAME-26SEP19UGAARK,Georgia vs Arkansas,georgia,arkansas,0.9,3015.97,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19ugaark
kalshi,KXNCAAFGAME-26SEP19UNCCLEM-CLEM,KXNCAAFGAME-26SEP19UNCCLEM,North Carolina vs Clemson,clemson,north carolina,0.81,16281.42,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19uncclem
kalshi,KXNCAAFGAME-26SEP19UNCCLEM-UNC,KXNCAAFGAME-26SEP19UNCCLEM,North Carolina vs Clemson,north carolina,clemson,0.22,5225.72,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19uncclem
kalshi,KXNCAAFGAME-26SEP19UNTTXST-TXST,KXNCAAFGAME-26SEP19UNTTXST,North Texas vs Texas St.,texas state,north texas,0.77,1.39,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19unttxst
kalshi,KXNCAAFGAME-26SEP19UNTTXST-UNT,KXNCAAFGAME-26SEP19UNTTXST,North Texas vs Texas St.,north texas,texas state,0.57,5.12,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19unttxst
kalshi,KXNCAAFGAME-26SEP19UWGAETSU-ETSU,KXNCAAFGAME-26SEP19UWGAETSU,West Georgia vs East Tennessee St.,east tennessee state,west georgia,0.75,0.0,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19uwgaetsu
kalshi,KXNCAAFGAME-26SEP19UWGAETSU-UWGA,KXNCAAFGAME-26SEP19UWGAETSU,West Georgia vs East Tennessee St.,west georgia,east tennessee state,0.59,0.0,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19uwgaetsu
kalshi,KXNCAAFGAME-26SEP19VILLLIU-LIU,KXNCAAFGAME-26SEP19VILLLIU,Villanova vs LIU,liu,villanova,0.18,14.46,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19villliu
kalshi,KXNCAAFGAME-26SEP19VILLLIU-VILL,KXNCAAFGAME-26SEP19VILLLIU,Villanova vs LIU,villanova,liu,0.9,217.59,2026-09-19,2026-09-21T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19villliu
kalshi,KXNCAAFGAME-26SEP19EMUWIS-WIS,KXNCAAFGAME-26SEP19EMUWIS,Eastern Michigan vs Wisconsin,wisconsin,eastern michigan,0.92,1283.98,2026-09-19,2026-09-21T16:30:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19emuwis
kalshi,KXNCAAFGAME-26SEP19EMUWIS-EMU,KXNCAAFGAME-26SEP19EMUWIS,Eastern Michigan vs Wisconsin,eastern michigan,wisconsin,0.14,331.54,2026-09-19,2026-09-21T16:30:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19emuwis
kalshi,KXNCAAFGAME-26SEP19NCSTVAN-VAN,KXNCAAFGAME-26SEP19NCSTVAN,NC St. vs Vanderbilt,vanderbilt,north carolina state,0.85,132.46,2026-09-19,2026-09-21T16:45:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19ncstvan
kalshi,KXNCAAFGAME-26SEP19NCSTVAN-NCST,KXNCAAFGAME-26SEP19NCSTVAN,NC St. vs Vanderbilt,north carolina state,vanderbilt,0.37,50.48,2026-09-19,2026-09-21T16:45:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19ncstvan
kalshi,KXNCAAFGAME-26SEP19CHSBUT-BUT,KXNCAAFGAME-26SEP19CHSBUT,Chicago St. vs Butler,butler,chicago state,0.91,782.23,2026-09-19,2026-09-21T17:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19chsbut
